,,,Grand Total,,,,,,,
Type,Material,Cut,Volume,Tonnes,FEGL,SILGL,ALGL,MNGL,PGL,PPCGL
Ore,IFR,1175.00_24_16,500.00,"1,400.00",58.95,1.42,0.55,1.59,0.16,11.54
Ore,IFR,1175.00_24_15,500.00,"1,400.00",58.84,1.45,0.51,1.69,0.17,11.58
Ore,IFR,1175.00_24_14,500.00,"1,400.00",58.58,1.51,0.88,1.59,0.16,11.61
Ore,IFR,1175.00_24_13,183.19,512.92,58.18,1.84,1.47,1.40,0.16,11.46
Ore,IFR,1175.00_23_21,375.00,"1,050.00",58.78,1.62,2.26,0.66,0.16,10.66
Ore,IFR,1175.00_23_20,500.00,"1,400.00",58.78,1.38,2.18,0.78,0.15,10.88
Ore,IFR,1175.00_23_19,500.00,"1,400.00",58.69,1.29,2.11,0.91,0.16,11.13
Ore,IFR,1175.00_23_18,500.00,"1,400.00",58.74,2.33,1.02,1.08,0.16,10.96
Ore,IFR,1175.00_23_17,500.00,"1,400.00",58.75,1.79,1.25,1.09,0.15,11.24
Ore,IFR,1175.00_23_16,500.00,"1,400.00",58.79,1.69,1.03,1.24,0.16,11.37
Ore,IFR,1175.00_23_15,500.00,"1,400.00",58.40,1.98,1.17,1.39,0.15,11.33
Ore,IFR,1175.00_23_14,500.00,"1,400.00",58.20,1.82,1.42,1.37,0.16,11.52
Ore,IFR,1175.00_23_13,412.56,"1,155.17",57.86,2.26,1.89,1.23,0.15,11.25
Ore,IFR,1175.00_22_21,500.00,"1,400.00",58.60,1.85,2.17,0.62,0.17,10.77
Ore,IFR,1175.00_22_20,500.00,"1,400.00",58.66,1.33,2.31,0.71,0.14,11.04
Ore,IFR,1175.00_22_19,500.00,"1,400.00",58.51,1.22,2.44,0.78,0.15,11.26
Ore,IFR,1175.00_22_18,500.00,"1,400.00",58.51,2.18,1.65,0.85,0.15,11.06
Ore,IFR,1175.00_22_17,500.00,"1,400.00",58.40,2.50,1.64,0.75,0.14,11.01
Ore,IFR,1175.00_22_16,500.00,"1,400.00",58.55,2.07,1.64,0.81,0.15,11.20
Ore,IFR,1175.00_22_15,500.00,"1,400.00",58.11,2.49,1.80,0.99,0.14,11.05
Ore,IFR,1175.00_22_14,500.00,"1,400.00",57.70,2.38,2.10,1.06,0.14,11.33
Ore,IFR,1175.00_22_13,499.97,"1,399.93",57.52,2.70,2.33,1.02,0.14,11.09
Ore,IFR,1175.00_22_12,150.16,420.46,57.71,3.34,1.91,1.11,0.12,10.55
Ore,IFR,1175.00_21_21,370.76,"1,038.13",58.67,1.88,2.09,0.58,0.17,10.80
Ore,IFR,1175.00_21_20,500.00,"1,400.00",58.38,1.39,2.50,0.62,0.16,11.23
Ore,IFR,1175.00_21_19,500.00,"1,400.00",58.34,1.15,2.71,0.62,0.15,11.39
Ore,IFR,1175.00_21_18,500.00,"1,400.00",58.22,1.61,2.65,0.60,0.15,11.35
Ore,IFR,1175.00_21_17,500.00,"1,400.00",58.07,3.21,1.90,0.46,0.14,10.82
Ore,IFR,1175.00_21_16,500.00,"1,400.00",58.35,2.37,2.10,0.46,0.14,11.09
Ore,IFR,1175.00_21_15,500.00,"1,400.00",58.07,2.77,2.16,0.62,0.13,10.86
Ore,IFR,1175.00_21_14,500.00,"1,400.00",57.21,3.04,2.73,0.74,0.13,11.07
Ore,IFR,1175.00_21_13,500.00,"1,400.00",57.21,3.00,2.74,0.78,0.13,11.06
Ore,IFR,1175.00_21_12,382.72,"1,071.63",57.31,3.99,2.41,0.90,0.11,10.20
Ore,IFR,1175.00_20_20,500.00,"1,400.00",58.48,1.59,2.38,0.51,0.16,11.14
Ore,IFR,1175.00_20_19,500.00,"1,400.00",58.16,1.10,2.95,0.48,0.14,11.52
Ore,IFR,1175.00_20_18,500.00,"1,400.00",57.97,1.32,3.33,0.39,0.15,11.53
Ore,IFR,1175.00_20_17,500.00,"1,400.00",57.91,3.30,2.23,0.27,0.14,10.84
Ore,IFR,1175.00_20_16,500.00,"1,400.00",57.97,3.15,2.26,0.27,0.13,10.91
Ore,IFR,1175.00_20_15,500.00,"1,400.00",58.62,2.40,1.97,0.37,0.13,10.92
Ore,IFR,1175.00_20_14,500.00,"1,400.00",57.35,3.13,2.82,0.50,0.12,10.98
Ore,IFR,1175.00_20_13,500.00,"1,400.00",56.96,3.32,3.07,0.59,0.12,10.98
Ore,IFR,1175.00_20_12,499.15,"1,397.61",57.04,4.19,2.78,0.72,0.10,10.18
Ore,IFR,1175.00_20_11,117.94,330.23,57.03,4.35,2.79,0.75,0.10,10.02
Ore,IFR,1175.00_19_20,500.00,"1,400.00",58.20,2.38,2.65,0.33,0.14,10.72
Ore,IFR,1175.00_19_19,500.00,"1,400.00",57.70,1.97,3.31,0.31,0.13,11.15
Ore,IFR,1175.00_19_18,500.00,"1,400.00",57.66,1.51,3.72,0.26,0.14,11.43
Ore,IFR,1175.00_19_17,500.00,"1,400.00",57.71,2.98,2.80,0.18,0.14,10.98
Ore,IFR,1175.00_19_16,500.00,"1,400.00",57.66,4.12,2.08,0.17,0.14,10.67
Ore,IFR,1175.00_19_15,500.00,"1,400.00",58.67,2.47,2.02,0.24,0.13,10.88
Ore,IFR,1175.00_19_14,500.00,"1,400.00",57.65,3.32,2.74,0.31,0.12,10.65
Ore,IFR,1175.00_19_13,500.00,"1,400.00",56.54,4.27,3.52,0.37,0.10,10.42
Ore,IFR,1175.00_19_12,500.00,"1,400.00",56.59,4.73,3.38,0.43,0.09,10.00
Ore,IFR,1175.00_19_11,271.10,759.07,56.53,5.19,3.39,0.49,0.08,9.57
Ore,IFR,1175.00_18_21,43.94,123.02,58.44,1.75,2.77,0.18,0.15,11.04
Ore,IFR,1175.00_18_20,494.39,"1,384.28",58.55,1.89,2.59,0.18,0.15,10.96
Ore,IFR,1175.00_18_19,500.00,"1,400.00",57.92,1.16,3.45,0.20,0.14,11.58
Ore,IFR,1175.00_18_18,500.00,"1,400.00",57.77,1.11,3.60,0.20,0.13,11.69
Ore,IFR,1175.00_18_17,500.00,"1,400.00",57.72,1.71,3.54,0.17,0.14,11.48
Ore,IFR,1175.00_18_16,500.00,"1,400.00",57.72,4.10,2.01,0.16,0.14,10.70
Ore,IFR,1175.00_18_15,500.00,"1,400.00",58.51,2.69,2.00,0.19,0.13,10.93
Ore,IFR,1175.00_18_14,500.00,"1,400.00",58.28,2.25,2.52,0.20,0.13,11.14
Ore,IFR,1175.00_18_13,500.00,"1,400.00",56.95,3.32,3.52,0.22,0.11,10.91
Ore,IFR,1175.00_18_12,500.00,"1,400.00",56.70,3.74,3.69,0.21,0.10,10.69
Ore,IFR,1175.00_18_11,125.00,350.00,56.82,4.11,3.70,0.23,0.09,10.11
Ore,IFR,1175.00_17_20,249.26,697.93,58.70,2.19,2.34,0.17,0.15,10.74
Ore,IFR,1175.00_17_19,500.00,"1,400.00",58.33,1.71,2.85,0.18,0.14,11.15
Ore,IFR,1175.00_17_18,500.00,"1,400.00",57.72,1.20,3.64,0.20,0.13,11.64
Ore,IFR,1175.00_17_17,500.00,"1,400.00",57.69,1.66,3.64,0.17,0.14,11.44
Ore,IFR,1175.00_17_16,500.00,"1,400.00",57.56,3.99,2.29,0.17,0.13,10.73
Ore,IFR,1175.00_17_15,500.00,"1,400.00",57.86,4.07,1.99,0.17,0.13,10.53
Ore,IFR,1175.00_17_14,500.00,"1,400.00",58.50,2.20,2.28,0.19,0.13,11.16
Ore,IFR,1175.00_17_13,500.00,"1,400.00",57.18,3.24,3.32,0.21,0.11,10.93
Ore,IFR,1175.00_17_12,375.00,"1,050.00",56.40,4.07,3.84,0.21,0.09,10.69
Ore,IFR,1175.00_16_19,343.16,960.86,58.44,1.91,2.68,0.18,0.14,11.00
Ore,IFR,1175.00_16_18,500.00,"1,400.00",57.71,1.19,3.66,0.19,0.13,11.63
Ore,IFR,1175.00_16_17,500.00,"1,400.00",57.64,1.58,3.68,0.17,0.13,11.46
Ore,IFR,1175.00_16_16,500.00,"1,400.00",57.45,3.39,2.83,0.17,0.13,10.94
Ore,IFR,1175.00_16_15,500.00,"1,400.00",57.41,4.70,2.19,0.17,0.12,10.36
Ore,IFR,1175.00_16_14,500.00,"1,400.00",58.61,1.98,2.28,0.18,0.13,11.25
Ore,IFR,1175.00_16_13,500.00,"1,400.00",57.33,2.98,3.29,0.19,0.11,11.04
Ore,IFR,1175.00_15_19,41.07,114.99,58.61,2.21,2.42,0.17,0.14,10.79
Ore,IFR,1175.00_15_18,472.62,"1,323.35",57.92,1.50,3.36,0.18,0.13,11.39
Ore,IFR,1175.00_15_17,500.00,"1,400.00",57.56,1.69,3.67,0.17,0.12,11.44
Ore,IFR,1175.00_15_16,500.00,"1,400.00",57.38,3.20,3.06,0.17,0.13,11.02
Ore,IFR,1175.00_15_15,500.00,"1,400.00",57.24,4.32,2.67,0.17,0.12,10.49
Ore,IFR,1175.00_15_14,500.00,"1,400.00",57.82,3.10,2.52,0.16,0.13,11.04
Ore,IFR,1175.00_15_13,125.00,350.00,58.26,2.01,2.70,0.17,0.13,11.31
Ore,IFR,1175.00_14_18,276.80,775.04,57.79,1.60,3.50,0.17,0.13,11.37
Ore,IFR,1175.00_14_17,500.00,"1,400.00",57.47,1.77,3.75,0.16,0.12,11.43
Ore,IFR,1175.00_14_16,500.00,"1,400.00",57.31,3.02,3.20,0.17,0.12,11.10
Ore,IFR,1175.00_14_15,500.00,"1,400.00",57.03,3.60,3.40,0.16,0.12,10.77
Ore,IFR,1175.00_14_14,125.00,350.00,57.22,3.98,2.70,0.14,0.12,10.87
Ore,IFR,1175.00_13_18,76.72,214.82,58.20,2.32,2.86,0.15,0.14,10.86
Ore,IFR,1175.00_13_17,497.26,"1,392.32",57.35,1.86,3.86,0.16,0.11,11.42
Ore,IFR,1175.00_13_16,250.00,700.00,57.24,2.67,3.45,0.17,0.12,11.24
Ore,IFR Total,,"337,767.56","945,749.14",57.58,2.47,3.73,0.22,0.12,10.56
Ore Total,,,"371,682.22","1,040,710.19",57.96,2.39,3.67,0.20,0.11,10.19
Waste,AG,1215.00_9_14,117.54,217.45,42.44,7.92,16.72,0.05,0.06,12.92
Waste,AG,1215.00_8_14,375.00,693.75,42.41,7.98,16.73,0.05,0.06,12.90
Waste,AG,1215.00_7_15,125.00,231.25,42.41,7.98,16.73,0.05,0.06,12.90
Waste,AG,1215.00_7_14,500.00,925.00,42.37,8.06,16.75,0.05,0.06,12.87
Waste,AG,1215.00_7_13,250.00,462.50,42.33,8.12,16.77,0.05,0.06,12.85
Waste,AG,1215.00_6_13,125.00,231.25,42.30,8.18,16.78,0.05,0.06,12.82
Waste,AG,1210.00_9_18,125.00,231.25,43.55,5.47,16.84,0.05,0.08,13.52
Waste,AG,1210.00_9_17,500.00,925.00,42.19,8.12,16.20,0.06,0.07,13.72
Waste,AG,1210.00_9_14,375.00,693.75,42.46,7.89,16.71,0.05,0.06,12.93
Waste,AG,1210.00_9_13,499.84,924.71,42.42,7.97,16.73,0.05,0.06,12.90
Waste,AG,1210.00_9_12,239.29,442.69,43.52,6.31,16.28,0.05,0.07,13.39
Waste,AG,1210.00_8_15,250.00,462.50,42.24,8.14,16.44,0.06,0.07,13.34
Waste,AG,1210.00_8_14,500.00,925.00,42.41,7.97,16.73,0.05,0.06,12.90
Waste,AG,1210.00_8_13,500.00,925.00,42.36,8.06,16.75,0.05,0.06,12.87
Waste,AG,1210.00_8_12,375.00,693.75,43.56,6.29,16.26,0.05,0.07,13.38
Waste,AG,1210.00_7_14,375.00,693.75,42.37,8.06,16.75,0.05,0.06,12.87
Waste,AG,1210.00_7_13,500.00,925.00,42.32,8.14,16.77,0.05,0.06,12.84
Waste,AG,1210.00_7_12,500.00,925.00,43.60,6.27,16.25,0.05,0.07,13.37
Waste,AG,1210.00_6_13,250.00,462.50,42.29,8.20,16.79,0.05,0.06,12.82
Waste,AG,1210.00_6_12,500.00,925.00,43.64,6.25,16.23,0.05,0.07,13.36
Waste,AG,1210.00_6_11,375.00,693.75,43.66,6.23,16.22,0.05,0.07,13.35
Waste,AG,1210.00_5_12,125.00,231.25,43.67,6.23,16.21,0.05,0.07,13.35
Waste,AG,1210.00_5_11,500.00,925.00,43.69,6.21,16.20,0.05,0.07,13.34
Waste,AG,1210.00_5_10,125.00,231.25,43.73,6.19,16.19,0.05,0.07,13.34
Waste,AG,1210.00_41_32,0.40,0.73,44.57,1.45,19.12,0.08,0.13,13.26
Waste,AG,1210.00_4_11,125.00,231.25,43.73,6.19,16.18,0.05,0.07,13.34
Waste,AG,1210.00_4_10,294.01,543.91,43.38,6.20,16.47,0.06,0.07,13.50
Waste,AG,1210.00_30_24,53.75,99.44,31.10,3.38,32.37,0.03,0.08,18.92
Waste,AG,1210.00_29_24,131.79,243.81,30.27,3.44,34.49,0.03,0.09,17.67
Waste,AG,1210.00_29_23,57.96,107.23,28.74,3.55,36.39,0.03,0.08,17.96
Waste,AG,1210.00_22_24,109.31,202.23,41.63,2.77,20.46,0.04,0.10,14.96
Waste,AG,1210.00_22_23,63.42,117.33,41.37,3.11,20.46,0.04,0.10,15.00
Waste,AG,1210.00_21_24,166.79,308.56,41.67,3.10,20.18,0.04,0.10,14.87
Waste,AG,1210.00_21_23,64.71,119.71,41.50,3.33,20.19,0.04,0.10,14.90
Waste,AG,1210.00_18_19,250.00,462.50,43.10,6.53,16.51,0.05,0.07,13.51
Waste,AG,1210.00_18_18,500.00,925.00,43.22,6.50,16.42,0.05,0.07,13.47
Waste,AG,1210.00_18_17,125.00,231.25,43.22,6.51,16.42,0.05,0.07,13.46
Waste,AG,1210.00_17_19,250.00,462.50,43.20,6.43,16.49,0.05,0.07,13.49
Waste,AG,1210.00_17_18,500.00,925.00,43.21,6.47,16.46,0.05,0.07,13.48
Waste,AG,1210.00_17_17,500.00,925.00,43.15,6.62,16.40,0.05,0.07,13.48
Waste,AG,1210.00_17_16,125.00,231.25,43.04,6.78,16.38,0.05,0.07,13.51
Waste,AG,1210.00_16_19,125.00,231.25,43.27,6.36,16.47,0.05,0.07,13.47
Waste,AG,1210.00_16_18,250.00,462.50,43.24,6.41,16.46,0.05,0.07,13.48
Waste,AG,1210.00_16_17,250.00,462.50,43.07,6.74,16.38,0.05,0.07,13.51
Waste,AG,1210.00_16_16,250.00,462.50,42.95,6.92,16.36,0.05,0.07,13.53
Waste,AG,1210.00_16_15,124.11,229.61,42.77,7.21,16.32,0.06,0.07,13.58
Waste,AG,1210.00_15_15,492.68,911.46,42.80,7.20,16.42,0.05,0.07,13.42
Waste,AG,1210.00_14_15,250.00,462.50,42.85,7.18,16.56,0.05,0.07,13.20
Waste,AG,1210.00_14_14,343.92,636.26,42.78,7.31,16.59,0.05,0.07,13.16
Waste,AG,1210.00_13_15,125.00,231.25,42.80,7.28,16.59,0.05,0.07,13.16
Waste,AG,1210.00_13_14,489.66,905.87,42.72,7.43,16.62,0.05,0.07,13.11
Waste,AG,1210.00_13_13,94.25,174.37,42.63,7.58,16.65,0.05,0.07,13.05
Waste,AG,1210.00_12_14,375.00,693.75,42.65,7.55,16.64,0.05,0.07,13.06
Waste,AG,1210.00_12_13,230.61,426.64,42.58,7.66,16.67,0.05,0.07,13.02
Waste,AG,1210.00_11_14,125.00,231.25,42.59,7.66,16.67,0.05,0.07,13.02
Waste,AG,1210.00_11_13,475.67,879.98,42.52,7.79,16.69,0.05,0.06,12.97
Waste,AG,1210.00_10_14,125.00,231.25,42.50,7.82,16.70,0.05,0.06,12.96
Waste,AG,1210.00_10_13,492.90,911.86,42.46,7.88,16.71,0.05,0.06,12.93
Waste,AG,1208.18_38_32,1.25,2.31,45.71,0.99,18.21,0.06,0.14,12.98
Waste,AG,1207.93_4_10,0.61,1.14,43.74,6.18,16.18,0.05,0.07,13.33
Waste,AG,1207.23_41_32,1.09,2.01,44.57,1.45,19.11,0.08,0.13,13.26
Waste,AG,1206.93_40_32,1.17,2.16,45.01,1.33,18.75,0.07,0.13,13.10
Waste,AG,1206.92_20_27,1.29,2.38,44.70,2.10,18.20,0.05,0.10,13.73
Waste,AG,1206.84_39_32,7.68,14.22,45.50,1.15,18.36,0.07,0.14,12.94
Waste,AG,1206.49_26_29,3.19,5.90,45.41,0.61,18.76,0.04,0.10,13.69
Waste,AG,1205.60_22_28,15.08,27.90,44.94,1.25,18.55,0.04,0.10,13.79
Waste,AG,1205.33_32_30,254.71,471.22,45.62,1.59,18.57,0.05,0.12,13.36
Waste,AG,1205.15_31_30,156.59,289.69,46.33,1.56,17.73,0.05,0.12,13.19
Waste,AG,1205.06_30_30,38.69,71.58,46.59,1.50,17.58,0.05,0.12,13.07
Waste,AG,1205.00_9_18,125.00,231.25,43.55,5.46,16.84,0.05,0.08,13.53
Waste,AG,1205.00_9_17,500.00,925.00,42.18,8.13,16.20,0.06,0.07,13.72
Waste,AG,1205.00_9_16,500.00,925.00,42.15,8.17,16.19,0.06,0.07,13.73
Waste,AG,1205.00_9_15,500.00,925.00,42.31,8.02,16.44,0.06,0.07,13.35
Waste,AG,1205.00_9_14,500.00,925.00,42.47,7.88,16.71,0.05,0.06,12.94
Waste,AG,1205.00_9_13,500.00,925.00,42.41,7.98,16.73,0.05,0.06,12.90
Waste,AG,1205.00_9_12,500.00,925.00,43.52,6.31,16.28,0.05,0.07,13.39
Waste,AG,1205.00_9_11,500.00,925.00,43.56,6.29,16.27,0.05,0.07,13.38
Waste,AG,1205.00_8_16,125.00,231.25,42.09,8.28,16.18,0.06,0.07,13.75
Waste,AG,1205.00_8_15,500.00,925.00,42.25,8.13,16.45,0.06,0.07,13.34
Waste,AG,1205.00_8_14,500.00,925.00,42.41,7.98,16.73,0.05,0.06,12.90
Waste,AG,1205.00_8_13,500.00,925.00,42.36,8.07,16.75,0.05,0.06,12.87
Waste,AG,1205.00_8_12,500.00,925.00,43.56,6.29,16.26,0.05,0.07,13.38
Waste,AG,1205.00_8_11,500.00,925.00,43.59,6.28,16.25,0.05,0.07,13.37
Waste,AG,1205.00_8_10,250.00,462.50,43.61,6.27,16.23,0.05,0.07,13.36
Waste,AG,1205.00_7_9,125.00,231.25,42.87,6.28,16.87,0.06,0.07,13.73
Waste,AG,1205.00_7_14,250.00,462.50,42.38,8.05,16.74,0.05,0.06,12.88
Waste,AG,1205.00_7_13,500.00,925.00,42.32,8.15,16.77,0.05,0.06,12.84
Waste,AG,1205.00_7_12,500.00,925.00,43.60,6.27,16.25,0.05,0.07,13.37
Waste,AG,1205.00_7_11,500.00,925.00,43.63,6.25,16.23,0.05,0.07,13.36
Waste,AG,1205.00_7_10,500.00,925.00,43.27,6.27,16.53,0.06,0.07,13.54
Waste,AG,1205.00_6_9,415.53,768.72,42.84,6.27,16.91,0.06,0.07,13.75
Waste,AG,1205.00_6_13,125.00,231.25,42.27,8.23,16.79,0.05,0.06,12.81
Waste,AG,1205.00_6_12,500.00,925.00,43.64,6.25,16.23,0.05,0.07,13.36
Waste,AG,1205.00_6_11,500.00,925.00,43.66,6.23,16.22,0.05,0.07,13.35
Waste,AG,1205.00_6_10,500.00,925.00,43.27,6.25,16.54,0.06,0.07,13.54
Waste,AG,1205.00_5_9,52.67,97.44,42.82,6.26,16.93,0.06,0.07,13.76
Waste,AG,1205.00_5_12,125.00,231.25,43.67,6.23,16.21,0.05,0.07,13.35
Waste,AG,1205.00_5_11,497.38,920.15,43.69,6.21,16.20,0.05,0.07,13.34
Waste,AG,1205.00_5_10,337.34,624.07,43.39,6.22,16.46,0.06,0.07,13.49
Waste,AG,1205.00_41_31,0.72,1.34,44.32,1.74,18.13,0.07,0.11,14.44
Waste,AG,1205.00_40_31,5.37,9.94,45.12,1.33,18.64,0.07,0.14,13.05
Waste,AG,1205.00_4_11,11.95,22.11,43.73,6.19,16.18,0.05,0.07,13.34
Waste,AG,1205.00_39_31,25.56,47.28,45.55,1.16,18.32,0.07,0.14,12.92
Waste,AG,1205.00_38_31,123.17,227.86,45.75,0.98,18.05,0.06,0.14,13.09
Waste,AG,1205.00_37_31,40.68,75.25,45.76,0.95,17.93,0.05,0.13,13.38
Waste,AG,1205.00_33_30,162.26,300.18,43.51,1.18,21.42,0.06,0.13,14.21
Waste,AG,1205.00_33_29,374.90,693.56,44.92,1.74,19.16,0.06,0.12,13.84
Waste,AG,1205.00_33_28,248.85,460.38,45.06,1.84,18.90,0.06,0.12,13.84
Waste,AG,1205.00_33_25,0.08,0.16,39.52,1.29,25.70,0.00,0.10,15.79
Waste,AG,1205.00_32_29,494.19,914.25,45.23,1.67,19.02,0.05,0.12,13.62
Waste,AG,1205.00_32_28,375.00,693.75,45.08,1.62,19.38,0.05,0.11,13.70
Waste,AG,1205.00_32_26,31.09,57.52,45.58,1.08,19.96,0.01,0.09,13.22
Waste,AG,1205.00_32_25,17.15,31.72,44.26,1.11,21.00,0.01,0.09,14.04
Waste,AG,1205.00_31_29,491.33,908.96,45.86,1.56,18.41,0.05,0.12,13.45
Waste,AG,1205.00_31_28,500.00,925.00,46.32,1.49,18.34,0.04,0.11,13.15
Waste,AG,1205.00_31_27,500.00,925.00,47.38,1.32,17.77,0.02,0.10,12.49
Waste,AG,1205.00_31_26,451.39,835.08,47.61,1.19,17.79,0.02,0.10,12.31
Waste,AG,1205.00_31_25,437.81,809.95,43.88,1.52,20.96,0.01,0.09,14.25
Waste,AG,1205.00_31_24,206.43,381.90,31.08,2.90,29.48,0.02,0.08,22.64
Waste,AG,1205.00_31_23,73.66,136.27,35.10,3.37,26.17,0.03,0.08,19.55
Waste,AG,1205.00_30_29,494.15,914.17,45.95,1.31,18.37,0.05,0.11,13.40
Waste,AG,1205.00_30_28,500.00,925.00,46.70,1.25,17.98,0.03,0.11,13.05
Waste,AG,1205.00_30_27,500.00,925.00,47.02,1.32,17.92,0.02,0.10,12.73
Waste,AG,1205.00_30_26,500.00,925.00,47.42,1.26,17.59,0.02,0.10,12.61
Waste,AG,1205.00_30_25,500.00,925.00,45.41,1.47,19.23,0.02,0.10,13.68
Waste,AG,1205.00_30_24,486.88,900.73,35.16,2.76,27.41,0.03,0.08,18.84
Waste,AG,1205.00_30_23,382.80,708.18,38.62,3.22,22.12,0.04,0.08,18.71
Waste,AG,1205.00_30_22,378.17,699.62,34.18,4.29,26.93,0.03,0.09,19.29
Waste,AG,1205.00_30_21,95.99,177.58,22.71,5.60,40.26,0.02,0.09,20.97
Waste,AG,1205.00_29_29,408.90,756.46,46.24,0.88,18.28,0.04,0.11,13.28
Waste,AG,1205.00_29_28,500.00,925.00,46.52,0.98,17.98,0.03,0.11,13.21
Waste,AG,1205.00_29_27,500.00,925.00,47.22,1.05,17.32,0.03,0.10,12.91
Waste,AG,1205.00_29_26,500.00,925.00,45.39,1.46,19.09,0.03,0.10,13.44
Waste,AG,1205.00_29_25,500.00,925.00,40.61,2.07,23.87,0.02,0.10,14.95
Waste,AG,1205.00_29_24,500.00,925.00,33.78,3.10,30.43,0.03,0.09,17.02
Waste,AG,1205.00_29_23,490.18,906.83,33.60,3.50,28.86,0.03,0.09,18.25
Waste,AG,1205.00_29_22,413.37,764.73,35.09,3.88,25.70,0.03,0.10,18.75
Waste,AG,1205.00_29_21,317.57,587.50,26.94,5.07,35.22,0.02,0.10,20.07
Waste,AG,1205.00_28_29,253.00,468.05,45.83,0.78,18.56,0.04,0.11,13.49
Waste,AG,1205.00_28_28,500.00,925.00,46.02,0.80,18.30,0.04,0.10,13.43
Waste,AG,1205.00_28_27,500.00,925.00,46.26,0.81,18.02,0.04,0.10,13.33
Waste,AG,1205.00_28_26,500.00,925.00,45.40,1.19,18.57,0.03,0.10,13.65
Waste,AG,1205.00_28_25,500.00,925.00,39.12,2.20,25.18,0.03,0.10,15.27
Waste,AG,1205.00_28_24,500.00,925.00,36.19,3.11,26.40,0.02,0.11,16.78
Waste,AG,1205.00_28_23,500.00,925.00,34.18,3.74,27.01,0.02,0.12,18.03
Waste,AG,1205.00_28_22,493.89,913.69,33.14,4.02,27.92,0.02,0.12,18.31
Waste,AG,1205.00_28_21,449.49,831.56,30.13,4.61,31.59,0.02,0.11,18.92
Waste,AG,1205.00_28_20,224.59,415.50,32.99,4.26,29.39,0.04,0.09,17.98
Waste,AG,1205.00_27_29,96.94,179.34,45.55,0.67,18.70,0.04,0.10,13.62
Waste,AG,1205.00_27_28,499.76,924.56,45.52,0.63,18.62,0.04,0.10,13.65
Waste,AG,1205.00_27_27,500.00,925.00,45.42,0.57,18.63,0.04,0.10,13.70
Waste,AG,1205.00_27_26,500.00,925.00,45.13,0.75,18.76,0.04,0.10,13.80
Waste,AG,1205.00_27_25,500.00,925.00,42.72,1.68,20.41,0.03,0.11,14.73
Waste,AG,1205.00_27_24,500.00,925.00,39.35,2.74,22.73,0.03,0.11,16.04
Waste,AG,1205.00_27_23,500.00,925.00,35.22,3.59,26.18,0.03,0.11,17.65
Waste,AG,1205.00_27_22,500.00,925.00,33.34,4.09,27.87,0.02,0.12,18.12
Waste,AG,1205.00_27_21,496.73,918.95,33.51,4.39,27.74,0.03,0.11,17.95
Waste,AG,1205.00_27_20,356.18,658.93,39.36,3.99,21.41,0.04,0.11,16.30
Waste,AG,1205.00_26_28,437.53,809.44,45.19,0.58,18.80,0.04,0.10,13.79
Waste,AG,1205.00_26_27,500.00,925.00,45.12,0.49,18.85,0.04,0.10,13.83
Waste,AG,1205.00_26_26,500.00,925.00,44.81,0.60,19.05,0.04,0.10,13.95
Waste,AG,1205.00_26_25,500.00,925.00,43.27,1.31,20.01,0.04,0.11,14.52
Waste,AG,1205.00_26_24,500.00,925.00,40.48,2.41,21.84,0.03,0.11,15.59
Waste,AG,1205.00_26_23,500.00,925.00,36.97,3.58,24.23,0.03,0.11,17.17
Waste,AG,1205.00_26_22,500.00,925.00,32.71,4.64,28.35,0.03,0.11,18.18
Waste,AG,1205.00_26_21,500.00,925.00,36.60,4.55,23.97,0.04,0.11,17.06
Waste,AG,1205.00_26_20,125.00,231.25,39.12,4.28,21.48,0.04,0.11,16.28
Waste,AG,1205.00_25_28,284.65,526.60,45.07,0.61,18.83,0.04,0.10,13.84
Waste,AG,1205.00_25_27,500.00,925.00,45.09,0.55,18.84,0.04,0.10,13.84
Waste,AG,1205.00_25_26,500.00,925.00,44.38,0.77,19.32,0.04,0.10,14.11
Waste,AG,1205.00_25_25,500.00,925.00,43.11,1.30,20.12,0.04,0.11,14.59
Waste,AG,1205.00_25_24,500.00,925.00,41.03,2.14,21.43,0.03,0.11,15.37
Waste,AG,1205.00_25_23,500.00,925.00,38.33,3.49,22.67,0.03,0.11,16.86
Waste,AG,1205.00_25_22,500.00,925.00,33.18,4.78,27.70,0.03,0.11,18.04
Waste,AG,1205.00_25_21,500.00,925.00,37.97,4.40,22.49,0.04,0.11,16.70
Waste,AG,1205.00_24_28,128.42,237.58,45.06,0.74,18.76,0.04,0.10,13.82
Waste,AG,1205.00_24_27,500.00,925.00,45.06,0.72,18.77,0.04,0.10,13.82
Waste,AG,1205.00_24_26,500.00,925.00,43.63,1.11,19.77,0.04,0.10,14.38
Waste,AG,1205.00_24_25,500.00,925.00,42.76,1.48,20.31,0.04,0.11,14.70
Waste,AG,1205.00_24_24,500.00,925.00,41.50,2.02,21.09,0.03,0.11,15.17
Waste,AG,1205.00_24_23,500.00,925.00,40.70,2.78,20.98,0.04,0.10,15.92
Waste,AG,1205.00_24_22,500.00,925.00,35.34,4.31,25.74,0.03,0.11,17.34
Waste,AG,1205.00_24_21,500.00,925.00,38.84,3.90,22.05,0.03,0.11,16.36
Waste,AG,1205.00_23_28,34.51,63.85,45.00,1.00,18.65,0.04,0.10,13.80
Waste,AG,1205.00_23_27,499.28,923.67,44.99,1.00,18.65,0.04,0.10,13.80
Waste,AG,1205.00_23_26,500.00,925.00,42.98,1.53,20.08,0.04,0.10,14.60
