,,,Grand Total,,,,,,,
Type,Material,Cut,Volume,Tonnes,FEGL,SILGL,ALGL,MNGL,PGL,PPCGL
Ore,HF,1185.00_35_28,24.86,69.62,62.32,0.50,3.19,0.02,0.15,6.19
Ore,HF,1185.00_35_27,488.52,"1,367.84",61.77,0.74,3.77,0.01,0.12,6.36
Ore,HF,1185.00_35_26,375.00,"1,050.00",61.72,0.98,3.89,0.01,0.09,6.27
Ore,HF,1185.00_34_27,88.71,248.39,61.70,0.66,3.96,0.01,0.12,6.33
Ore,HF,1185.00_28_26,37.67,105.49,60.90,1.86,2.75,0.03,0.16,7.38
Ore,HF,1185.00_28_25,250.00,699.99,61.00,2.25,2.71,0.04,0.14,6.95
Ore,HF,1185.00_27_25,451.42,"1,263.98",61.11,1.86,2.71,0.03,0.14,7.12
Ore,HF,1185.00_26_25,180.96,506.70,61.21,1.09,3.07,0.03,0.13,7.25
Ore,HF,1185.00_25_25,0.08,0.24,61.19,1.58,2.67,0.03,0.13,7.27
Ore,HF,1185.00_20_23,35.78,100.19,61.82,2.04,1.21,0.13,0.10,7.65
Ore,HF,1185.00_20_22,249.95,699.87,61.79,2.14,1.15,0.13,0.10,7.68
Ore,HF,1185.00_19_22,456.63,"1,278.58",61.85,2.12,1.07,0.13,0.10,7.69
Ore,HF,1185.00_19_21,250.00,700.00,61.78,2.23,1.09,0.13,0.10,7.66
Ore,HF,1185.00_18_22,343.83,962.72,61.90,2.11,1.02,0.14,0.10,7.70
Ore,HF,1185.00_18_21,125.00,350.00,61.83,2.20,1.04,0.13,0.10,7.68
Ore,HF,1185.00_17_22,200.64,561.79,61.93,2.15,0.94,0.14,0.09,7.70
Ore,HF,1184.07_53_29,0.06,0.16,61.96,1.57,2.58,0.04,0.09,6.77
Ore,HF,1183.10_46_29,0.10,0.27,64.46,1.24,1.93,0.01,0.06,4.35
Ore,HF,1182.48_18_22,1.59,4.45,61.85,2.19,1.02,0.13,0.10,7.69
Ore,HF,1180.99_47_29,1.34,3.77,63.19,1.59,2.84,0.02,0.07,4.83
Ore,HF,1180.90_38_28,6.23,17.44,62.64,0.92,3.26,0.03,0.08,5.51
Ore,HF,1180.59_52_29,5.68,15.89,62.02,1.56,2.72,0.04,0.09,6.94
Ore,HF,1180.29_57_25,0.40,1.11,62.60,1.54,3.04,0.06,0.07,5.40
Ore,HF,1180.00_58_27,0.02,0.07,62.00,2.24,2.23,0.06,0.07,6.05
